repo,status,target_date,commit,commit_date,previous_head
"knime-python-google-ads","checked_out","2026-01-01","6b04d97b17834e3d03b01c25083b60c5c50bf9ea","2025-12-19T09:38:39+01:00","bf985b8"
"knime-python-legacy","checked_out","2026-01-01","fd3cbdf7054de7506aad96edb3d3d68161ba8cb1","2025-12-15T10:20:13+01:00","06b034d"
"knime-python-llm","checked_out","2026-01-01","f5e9aa0a17f8e2dd251fc99ae4a53e7aba1acc28","2025-12-18T14:45:27+01:00","68e3b64"
"knime-python-sklearn","checked_out","2026-01-01","3b51c78e02a76c143da97cd2ac961ae0565f62e0","2025-12-15T10:20:25+01:00","6e48d67"
"knime-python-types-example","checked_out","2026-01-01","7a5a1aa6168176ef3e8aa7218dda35518e361c9d","2025-12-19T09:49:36+01:00","366b170"
"knime-python-types","checked_out","2026-01-01","2ebe25a3a2544c7eefa2a4e9c68fbc790825779b","2025-12-15T10:20:26+01:00","2ebe25a"
"knime-python","checked_out","2026-01-01","6eb429e5ef309c2f247f0d15e66bb2bc0e136985","2025-12-29T17:35:06+01:00","dd376f7b"
"knime-r","checked_out","2026-01-01","a6e15ac7098e614969702abd5334debd41b0ff1f","2025-12-15T10:20:30+01:00","a6e15ac7"
"knime-reporting2","checked_out","2026-01-01","48f2f132823f92d076bbc01ab85ef32428b94ffc","2025-12-15T10:20:38+01:00","48f2f13"
"knime-rest","checked_out","2026-01-01","fdac1ed8b4302213f0e0a55723fe4920e9f2826f","2025-12-15T10:20:40+01:00","18a1dc5"
"knime-salesforce","checked_out","2026-01-01","0959e6e79e4d9f252501d49207bca43b1e33605b","2025-12-15T10:20:53+01:00","ca5ff9e"
"knime-scripting-editor","checked_out","2026-01-01","5bbb5620e877a636bf3c773d765775ae47eeee6c","2025-12-15T10:21:00+01:00","5bbb562"
"knime-sdk-setup","checked_out","2026-01-01","6904fef1dbc826c159e211f74b2c9e5cdd80282f","2025-12-15T10:21:01+01:00","7659fd9"
"knime-shared","checked_out","2026-01-01","3a8b54a3f029408945f37ab6ab64f814b91c058a","2025-12-15T10:21:11+01:00","2a65e41"
"knime-snowflake","checked_out","2026-01-01","321626077904c93c1260ee7b1cd08178b579b094","2025-12-15T10:21:18+01:00","beb1c60"
"knime-spark-jobserver-utils","checked_out","2026-01-01","d1ed2002b6c2484bd28b8eb61be49f1bd0f2d8b2","2016-06-08T18:17:35+02:00","d1ed200"
"knime-stats","checked_out","2026-01-01","b61f67167ec977df5e1dfd2a8353d854115495c3","2025-12-15T10:21:19+01:00","e03a160"
"knime-streaming","checked_out","2026-01-01","3c02f360174bb78179c539ab007abe7092f10d67","2025-12-15T10:21:26+01:00","3c02f36"
"knime-svg","checked_out","2026-01-01","2d84e80be8eb20a85e324666497fa14ebd85a262","2025-12-15T10:21:28+01:00","637d080"
"knime-tensorflow","checked_out","2026-01-01","b36f08de1d4412d6f797c2ce568494be76b5a808","2025-12-15T10:21:54+01:00","93cfe9f"
"knime-textprocessing","checked_out","2026-01-01","6181b35dd67a76661ab77a250ef8b6cddb036b15","2025-12-15T10:22:07+01:00","6181b35d"
"knime-timeseries-analysis","checked_out","2026-01-01","d07ab0fec41652dc7bf9d7b6dd7b3b702a161576","2025-12-15T10:22:20+01:00","355f208"
"knime-ui-extension-service","checked_out","2026-01-01","5d890846e0495bde307bf130ddfa44d2cb98c866","2025-08-30T10:53:40Z","5d89084"
"knime-ui-table","checked_out","2026-01-01","bba93ddb4970fcac04a614384601432f3aca707a","2025-12-12T15:59:47+01:00","5b7d762"
"knime-ui","checked_out","2026-01-01","789685ac1d893bc61a1efbbf01206acd6c5a8d52","2025-12-29T17:01:15+01:00","b0b6d63a8"
"knime-workbench","checked_out","2026-01-01","b5005dd612bd602c99c7f4bdd008f6963f5e2f53","2025-12-15T10:23:00+01:00","f518f3e4"
"knime-xml","checked_out","2026-01-01","b81f453bf2b94a6db6929af93202797172463b4b","2025-12-19T15:29:52+01:00","f2ead01"
"knimepy","checked_out","2026-01-01","fc10f3840f80f5625d8c10bedceeda5476fc5096","2020-12-05T17:26:42-06:00","6eed6ca"
"replicated-cmx-hub-initialization-workflow","checked_out","2026-01-01","87dd53bebf2847e71bd70639ca785fed27d86d95","2024-11-14T17:52:54+01:00","87dd53b"
"spark-jobserver","checked_out","2026-01-01","e4d3ba90c26a96b182c02362de85f68bb8772818","2018-07-09T15:07:56+02:00","bba212e"
"v-calendar","checked_out","2026-01-01","42fc080117ae3e229b99330236630ceee1b6c127","2025-12-15T10:24:54+01:00","42fc080"
"vue-headless-virtual-scroller","checked_out","2026-01-01","edc6cd18027d3903d9bd2101efcb1aee3a8df52f","2025-12-12T15:58:53+01:00","edc6cd1"
"vue-virtual-scroller","checked_out","2026-01-01","21c91398ba5e2339ee9798fc8a811a21c002077c","2022-11-28T10:27:29+01:00","21c9139"
"webapps-common","checked_out","2026-01-01","5ee152150ff8e90e5cc4cb0ce04735be64a62c9e","2025-12-19T17:25:42+01:00","38a050d7"
