rank,title,doi,status,output_path,used_url,note
81,A knowledge-based expert rule system for predicting mutagenicity (Ames test) of aromatic amines and azo compounds,https://doi.org/10.1016/j.tox.2016.09.008,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
82,Machine Learning and Regression Analysis to Model the Length of Hospital Stay in Patients with Femur Fracture,https://doi.org/10.3390/bioengineering9040172,not_downloaded,,https://content.openalex.org/works/W4223900207.pdf,content_urls.pdf; HTTP 429; https://content.openalex.org/works/W4223900207.pdf
83,Improving Prosthetic Selection and Predicting BMD from Biometric Measurements in Patients Receiving Total Hip Arthroplasty,https://doi.org/10.3390/diagnostics10100815,not_downloaded,,https://content.openalex.org/works/W3093194453.pdf,content_urls.pdf; HTTP 429; https://content.openalex.org/works/W3093194453.pdf
84,Big data and sentiment analysis using KNIME: Online reviews vs. social media,https://doi.org/10.1109/mipro.2014.6859797,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
85,Selectivity profiling of BCRP versus P-gp inhibition: from automated collection of polypharmacology data to multi-label learning,https://doi.org/10.1186/s13321-016-0121-y,downloaded_pdf,data/original/articles/85_10.pdf,https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-016-0121-y,best_oa_location.pdf_url; HTTP 200; application/pdf; https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-016-0121-y
86,TeachOpenCADD-KNIME: A Teaching Platform for Computer-Aided Drug Design Using KNIME Workflows,https://doi.org/10.1021/acs.jcim.9b00662,not_downloaded,,https://content.openalex.org/works/W2980497069.pdf,content_urls.pdf; HTTP 429; https://content.openalex.org/works/W2980497069.pdf
87,Prediction of the skin sensitising potential and potency of compounds via mechanism-based binary and ternary classification models,https://doi.org/10.1016/j.tiv.2019.01.004,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
88,Applying predictive analytics in identifying students at risk: A case study,https://doi.org/10.20853/30-2-583,downloaded_pdf,data/original/articles/88_10.pdf,https://www.journals.ac.za/index.php/sajhe/article/download/583/213,best_oa_location.pdf_url; HTTP 200; application/pdf; https://www.journals.ac.za/index.php/sajhe/article/download/583/213
89,Flood Simulations Using a Sensor Network and Support Vector Machine Model,https://doi.org/10.3390/w15112004,not_downloaded,,https://content.openalex.org/works/W4378223202.pdf,content_urls.pdf; HTTP 429; https://content.openalex.org/works/W4378223202.pdf
90,ADME Prediction with KNIME: In silico aqueous solubility models based on supervised recursive machine learning approaches,https://doi.org/10.5599/admet.852,downloaded_pdf,data/original/articles/90_10.5599_admet.pdf,https://pub.iapchem.org/ojs/index.php/admet/article/download/852/1240,best_oa_location.pdf_url; HTTP 200; application/pdf; https://pub.iapchem.org/ojs/index.php/admet/article/download/852/1240
91,Computational analysis of microarray gene expression profiles of lung cancer,https://doi.org/10.7124/bc.00090f,downloaded_pdf,data/original/articles/91_10.7124_bc.pdf,http://www.biopolymers.org.ua/pdf/en/32/1/070/biopolym.cell-2016-32-1-070-en.pdf,best_oa_location.pdf_url; HTTP 200; application/pdf; http://www.biopolymers.org.ua/pdf/en/32/1/070/biopolym.cell-2016-32-1-070-en.pdf
92,Neural Networks for Automated Smart Health Platforms oriented on Heart Predictive Diagnostic Big Data Systems,https://doi.org/10.23919/aeit.2018.8577362,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
93,Multiscale modelling approaches for assessing cosmetic ingredients safety,https://doi.org/10.1016/j.tox.2016.05.026,not_downloaded,,https://content.openalex.org/works/W2409982462.pdf,content_urls.pdf; HTTP 429; https://content.openalex.org/works/W2409982462.pdf
94,KNIME an Open Source Solution for Predictive Analytics in the Geosciences [Software and Data Sets],https://doi.org/10.1109/mgrs.2015.2496160,not_downloaded,,,No candidate PDF URL in OpenAlex metadata
95,Computational QSAR model combined molecular descriptors and fingerprints to predict HDAC1 inhibitors,https://doi.org/10.1051/medsci/201834f110,downloaded_pdf,data/original/articles/95_10.pdf,https://www.medecinesciences.org/articles/medsci/pdf/2018/09/medsci180271s.pdf,best_oa_location.pdf_url; HTTP 200; application/pdf; charset=binary; https://www.medecinesciences.org/articles/medsci/pdf/2018/09/medsci180271s.pdf
96,The integration of Open3DTOOLS into the RDKit and KNIME,https://doi.org/10.1186/1758-2946-6-s1-p8,downloaded_pdf,data/original/articles/96_10.pdf,https://jcheminf.biomedcentral.com/track/pdf/10.1186/1758-2946-6-S1-P8,best_oa_location.pdf_url; HTTP 200; application/pdf; https://jcheminf.biomedcentral.com/track/pdf/10.1186/1758-2946-6-S1-P8
97,Knime4Bio: a set of custom nodes for the interpretation of next-generation sequencing data with KNIME,https://doi.org/10.1093/bioinformatics/btr554,not_downloaded,,https://academic.oup.com/bioinformatics/article-pdf/27/22/3200/48863532/bioinformatics_27_22_3200.pdf,best_oa_location.pdf_url; HTTP 403; https://academic.oup.com/bioinformatics/article-pdf/27/22/3200/48863532/bioinformatics_27_22_3200.pdf
98,A Predictive Model Implemented in KNIME Based on Learning Analytics for Timely Decision Making in Virtual Learning Environments,https://doi.org/10.18178/ijiet.2022.12.2.1591,downloaded_pdf,data/original/articles/98_10.18178_ijiet.2022.12.2.pdf,http://www.ijiet.org/vol12/1591-IJIET-2759.pdf,best_oa_location.pdf_url; HTTP 200; application/pdf; http://www.ijiet.org/vol12/1591-IJIET-2759.pdf
99,Data mining tools -a case study for network intrusion detection,https://doi.org/10.1007/s11042-020-09916-0,downloaded_pdf,data/original/articles/99_10.pdf,https://link.springer.com/content/pdf/10.1007/s11042-020-09916-0.pdf,best_oa_location.pdf_url; HTTP 200; application/pdf; https://link.springer.com/content/pdf/10.1007/s11042-020-09916-0.pdf
100,From in vitro to in vivo: Integration of the virtual cell based assay with physiologically based kinetic modelling,https://doi.org/10.1016/j.tiv.2017.06.015,not_downloaded,,https://doi.org/10.1016/j.tiv.2017.06.015,open_access.oa_url; HTTP 200; text/html;charset=UTF-8; https://doi.org/10.1016/j.tiv.2017.06.015
