pdf_file,tei_file,html_file,status,title,tei_text_chars,tei_divs,tei_paragraphs,tei_bibliography_entries,html_bytes,error
data/original/articles/10.1074_mcp.ra117.000165.pdf,data/processed/articles/grobid_tei/10.1074_mcp.ra117.000165.tei.xml,data/processed/articles/10.1074_mcp.ra117.000165.html,existing,,,,,,48325,
data/original/articles/10.1080_07391102.2018.1456975.pdf,data/processed/articles/grobid_tei/10.1080_07391102.2018.1456975.tei.xml,data/processed/articles/10.1080_07391102.2018.1456975.html,existing,,,,,,80371,
data/original/articles/10.1080_1528008x.2020.1848747.pdf,data/processed/articles/grobid_tei/10.1080_1528008x.2020.1848747.tei.xml,data/processed/articles/10.1080_1528008x.2020.1848747.html,existing,,,,,,75938,
data/original/articles/10.1093_bioinformatics_btr478.pdf,data/processed/articles/grobid_tei/10.1093_bioinformatics_btr478.tei.xml,data/processed/articles/10.1093_bioinformatics_btr478.html,existing,,,,,,14083,
data/original/articles/10.1093_bioinformatics_btr554.pdf,data/processed/articles/grobid_tei/10.1093_bioinformatics_btr554.tei.xml,data/processed/articles/10.1093_bioinformatics_btr554.html,existing,,,,,,10869,
data/original/articles/10.1093_bioinformatics_bts543.pdf,data/processed/articles/grobid_tei/10.1093_bioinformatics_bts543.tei.xml,data/processed/articles/10.1093_bioinformatics_bts543.html,existing,,,,,,17168,
data/original/articles/10.1093_bioinformatics_btz204.pdf,data/processed/articles/grobid_tei/10.1093_bioinformatics_btz204.tei.xml,data/processed/articles/10.1093_bioinformatics_btz204.html,existing,,,,,,47228,
data/original/articles/10.1109_cdan.2016.7570894.pdf,data/processed/articles/grobid_tei/10.1109_cdan.2016.7570894.tei.xml,data/processed/articles/10.1109_cdan.2016.7570894.html,existing,,,,,,32191,
data/original/articles/10.1109_mgrs.2015.2496160.pdf,data/processed/articles/grobid_tei/10.1109_mgrs.2015.2496160.tei.xml,data/processed/articles/10.1109_mgrs.2015.2496160.html,existing,,,,,,26391,
data/original/articles/10.1109_mipro.2014.6859735.pdf,data/processed/articles/grobid_tei/10.1109_mipro.2014.6859735.tei.xml,data/processed/articles/10.1109_mipro.2014.6859735.html,existing,,,,,,26220,
data/original/articles/10.1145_1656274.1656280.pdf,data/processed/articles/grobid_tei/10.1145_1656274.1656280.tei.xml,data/processed/articles/10.1145_1656274.1656280.html,existing,,,,,,30247,
data/original/articles/10.1145_2494444.2494451.pdf,data/processed/articles/grobid_tei/10.1145_2494444.2494451.tei.xml,data/processed/articles/10.1145_2494444.2494451.html,existing,,,,,,20543,
data/original/articles/10.11591_ijeecs.v25.i2.pp1151-1158.pdf,data/processed/articles/grobid_tei/10.11591_ijeecs.v25.i2.pp1151-1158.tei.xml,data/processed/articles/10.11591_ijeecs.v25.i2.pp1151-1158.html,existing,,,,,,32664,
data/original/articles/10.1177_1087057111432885.pdf,data/processed/articles/grobid_tei/10.1177_1087057111432885.tei.xml,data/processed/articles/10.1177_1087057111432885.html,existing,,,,,,45264,
data/original/articles/10.1177_1460458219899210.pdf,data/processed/articles/grobid_tei/10.1177_1460458219899210.tei.xml,data/processed/articles/10.1177_1460458219899210.html,existing,,,,,,38766,
data/original/articles/10.1186_1471-2105-14-257.pdf,data/processed/articles/grobid_tei/10.1186_1471-2105-14-257.tei.xml,data/processed/articles/10.1186_1471-2105-14-257.html,existing,,,,,,18171,
data/original/articles/10.1186_1758-2946-6-s1-p8.pdf,data/processed/articles/grobid_tei/10.1186_1758-2946-6-s1-p8.tei.xml,data/processed/articles/10.1186_1758-2946-6-s1-p8.html,existing,,,,,,4707,
data/original/articles/10.1186_s12859-020-3363-7.pdf,data/processed/articles/grobid_tei/10.1186_s12859-020-3363-7.tei.xml,data/processed/articles/10.1186_s12859-020-3363-7.html,existing,,,,,,43537,
data/original/articles/10.1186_s13321-016-0121-y.pdf,data/processed/articles/grobid_tei/10.1186_s13321-016-0121-y.tei.xml,data/processed/articles/10.1186_s13321-016-0121-y.html,existing,,,,,,57567,
data/original/articles/10.1186_s13321-018-0299-2.pdf,data/processed/articles/grobid_tei/10.1186_s13321-018-0299-2.tei.xml,data/processed/articles/10.1186_s13321-018-0299-2.html,existing,,,,,,66869,
data/original/articles/10.1186_s13321-018-0315-6.pdf,data/processed/articles/grobid_tei/10.1186_s13321-018-0315-6.tei.xml,data/processed/articles/10.1186_s13321-018-0315-6.html,existing,,,,,,57891,
data/original/articles/10.1186_s13321-019-0384-1.pdf,data/processed/articles/grobid_tei/10.1186_s13321-019-0384-1.tei.xml,data/processed/articles/10.1186_s13321-019-0384-1.html,existing,,,,,,85569,
data/original/articles/10.1186_s13321-020-00435-6.pdf,data/processed/articles/grobid_tei/10.1186_s13321-020-00435-6.tei.xml,data/processed/articles/10.1186_s13321-020-00435-6.html,existing,,,,,,45114,
data/original/articles/10.1186_s13321-024-00814-3.pdf,data/processed/articles/grobid_tei/10.1186_s13321-024-00814-3.tei.xml,data/processed/articles/10.1186_s13321-024-00814-3.html,existing,,,,,,77650,
data/original/articles/10.1186_s40537-019-0176-5.pdf,data/processed/articles/grobid_tei/10.1186_s40537-019-0176-5.tei.xml,data/processed/articles/10.1186_s40537-019-0176-5.html,existing,,,,,,42095,
data/original/articles/10.13189_csit.2019.070101.pdf,data/processed/articles/grobid_tei/10.13189_csit.2019.070101.tei.xml,data/processed/articles/10.13189_csit.2019.070101.html,existing,,,,,,38901,
data/original/articles/10.1371_journal.pone.0208626.pdf,data/processed/articles/grobid_tei/10.1371_journal.pone.0208626.tei.xml,data/processed/articles/10.1371_journal.pone.0208626.html,existing,,,,,,50194,
data/original/articles/10.14569_specialissue.2011.010304.pdf,data/processed/articles/grobid_tei/10.14569_specialissue.2011.010304.tei.xml,data/processed/articles/10.14569_specialissue.2011.010304.html,existing,,,,,,43131,
data/original/articles/10.18178_ijiet.2022.12.2.1591.pdf,data/processed/articles/grobid_tei/10.18178_ijiet.2022.12.2.1591.tei.xml,data/processed/articles/10.18178_ijiet.2022.12.2.1591.html,existing,,,,,,44920,
data/original/articles/10.20853_30-2-583.pdf,data/processed/articles/grobid_tei/10.20853_30-2-583.tei.xml,data/processed/articles/10.20853_30-2-583.html,existing,,,,,,39340,
data/original/articles/10.20895_dinda.v3i1.822.pdf,data/processed/articles/grobid_tei/10.20895_dinda.v3i1.822.tei.xml,data/processed/articles/10.20895_dinda.v3i1.822.html,existing,,,,,,12564,
data/original/articles/10.3389_fchem.2018.00093.pdf,data/processed/articles/grobid_tei/10.3389_fchem.2018.00093.tei.xml,data/processed/articles/10.3389_fchem.2018.00093.html,existing,,,,,,45929,
data/original/articles/10.3389_fcomp.2020.00008.pdf,data/processed/articles/grobid_tei/10.3389_fcomp.2020.00008.tei.xml,data/processed/articles/10.3389_fcomp.2020.00008.html,existing,,,,,,79321,
data/original/articles/10.3389_fenvs.2015.00054.pdf,data/processed/articles/grobid_tei/10.3389_fenvs.2015.00054.tei.xml,data/processed/articles/10.3389_fenvs.2015.00054.html,existing,,,,,,37911,
data/original/articles/10.3389_fenvs.2016.00002.pdf,data/processed/articles/grobid_tei/10.3389_fenvs.2016.00002.tei.xml,data/processed/articles/10.3389_fenvs.2016.00002.html,existing,,,,,,60894,
data/original/articles/10.3390_bioengineering9040172.pdf,data/processed/articles/grobid_tei/10.3390_bioengineering9040172.tei.xml,data/processed/articles/10.3390_bioengineering9040172.html,existing,,,,,,49330,
data/original/articles/10.3390_diagnostics10100815.pdf,data/processed/articles/grobid_tei/10.3390_diagnostics10100815.tei.xml,data/processed/articles/10.3390_diagnostics10100815.html,existing,,,,,,56039,
data/original/articles/10.3390_encyclopedia3020035.pdf,data/processed/articles/grobid_tei/10.3390_encyclopedia3020035.tei.xml,data/processed/articles/10.3390_encyclopedia3020035.html,existing,,,,,,48075,
data/original/articles/10.3390_iech2022-12311.pdf,data/processed/articles/grobid_tei/10.3390_iech2022-12311.tei.xml,data/processed/articles/10.3390_iech2022-12311.html,existing,,,,,,23280,
data/original/articles/10.3390_info9070176.pdf,data/processed/articles/grobid_tei/10.3390_info9070176.tei.xml,data/processed/articles/10.3390_info9070176.html,existing,,,,,,75946,
data/original/articles/10.3390_pharmaceutics14101998.pdf,data/processed/articles/grobid_tei/10.3390_pharmaceutics14101998.tei.xml,data/processed/articles/10.3390_pharmaceutics14101998.html,existing,,,,,,77704,
data/original/articles/10.3390_s16091498.pdf,data/processed/articles/grobid_tei/10.3390_s16091498.tei.xml,data/processed/articles/10.3390_s16091498.html,existing,,,,,,56213,
data/original/articles/10.3390_su12114776.pdf,data/processed/articles/grobid_tei/10.3390_su12114776.tei.xml,data/processed/articles/10.3390_su12114776.html,existing,,,,,,64899,
data/original/articles/10.3390_su13073836.pdf,data/processed/articles/grobid_tei/10.3390_su13073836.tei.xml,data/processed/articles/10.3390_su13073836.html,existing,,,,,,68072,
data/original/articles/10.3390_su15065443.pdf,data/processed/articles/grobid_tei/10.3390_su15065443.tei.xml,data/processed/articles/10.3390_su15065443.html,existing,,,,,,66107,
data/original/articles/10.3390_w15112004.pdf,data/processed/articles/grobid_tei/10.3390_w15112004.tei.xml,data/processed/articles/10.3390_w15112004.html,existing,,,,,,104557,
data/original/articles/10.35940_ijitee.i1003.0789s19.pdf,data/processed/articles/grobid_tei/10.35940_ijitee.i1003.0789s19.tei.xml,data/processed/articles/10.35940_ijitee.i1003.0789s19.html,existing,,,,,,29982,
data/original/articles/10.5121_ijaia.2018.9301.pdf,data/processed/articles/grobid_tei/10.5121_ijaia.2018.9301.tei.xml,data/processed/articles/10.5121_ijaia.2018.9301.html,existing,,,,,,33275,
data/original/articles/10.5599_admet.852.pdf,data/processed/articles/grobid_tei/10.5599_admet.852.tei.xml,data/processed/articles/10.5599_admet.852.html,existing,,,,,,57143,
data/original/articles/10.61925_swb.2023.1302.pdf,data/processed/articles/grobid_tei/10.61925_swb.2023.1302.tei.xml,data/processed/articles/10.61925_swb.2023.1302.html,existing,,,,,,22181,
data/original/articles/10.7124_bc.00090f.pdf,data/processed/articles/grobid_tei/10.7124_bc.00090f.tei.xml,data/processed/articles/10.7124_bc.00090f.html,existing,,,,,,28758,
data/original/articles/628-2272-1-PB.pdf,data/processed/articles/grobid_tei/628-2272-1-PB.tei.xml,data/processed/articles/628-2272-1-PB.html,existing,,,,,,27651,
data/original/articles/knime_the_konstanz_information_miner_2006.pdf,data/processed/articles/grobid_tei/knime_the_konstanz_information_miner_2006.tei.xml,data/processed/articles/knime_the_konstanz_information_miner_2006.html,ok,KNIME: THE KONSTANZ INFORMATION MINER,15273,18,32,4,15118,
