repo,status,target_date,commit,commit_date,previous_head
"git-nodes-test","checked_out","2021-01-01","4a658f038ccaf1a4a4b2eebb36684087503b42bb","2018-02-20T16:34:53+01:00","4a658f0"
"github-pullrequest-filter-plugin","no_commit","2021-01-01","","","2b95fa4"
"incubator-livy","checked_out","2021-01-01","7989ebb5b89068016b27bf48be2a8b041cfc37da","2020-01-08T15:50:42+01:00","f20827e"
"knime-activelearning","checked_out","2021-01-01","ec267096b7a7800e27cde83b7df6451b386af6e9","2020-12-07T21:34:53+01:00","f1bd0d1"
"knime-ap-batch","no_commit","2021-01-01","","","efc109e"
"knime-aws-services","checked_out","2021-01-01","625a946150276dcc5455257e836aaa628d75a108","2020-12-07T21:35:25+01:00","2da891f"
"knime-aws","checked_out","2021-01-01","83ddf8979694f0821845ed48645d9b2832209423","2020-12-07T21:35:25+01:00","8a193ca"
"knime-azure","checked_out","2021-01-01","154aceb5488efca5b8843d9b9bebc2138632bea1","2020-12-07T21:34:59+01:00","91f4862"
"knime-base-expressions","no_commit","2021-01-01","","","5bc3cc0"
"knime-base","checked_out","2021-01-01","cb38702a526b75ec69dd3910fee83a1cb8f9fb86","2020-12-22T14:54:10+01:00","2e2e94927"
"knime-bigdata","checked_out","2021-01-01","4e88e38f027e4174154a68213ac4c035680c7007","2020-12-17T13:29:53+01:00","a1a3fd9c"
"knime-buildworkflows","checked_out","2021-01-01","5e7be10722b7f13fe7ba428dff395f08ece8da01","2020-12-10T12:43:08+01:00","ef534a9"
"knime-business-hub-public","no_commit","2021-01-01","","","076e869"
"knime-chemistry","checked_out","2021-01-01","68ba66239fe6c326b5534386802a6b45e86eae53","2020-12-10T12:07:30+01:00","aa7a94e"
"knime-cloud-aws","checked_out","2021-01-01","24d944687729383265e97123dda78757ad76d44a","2020-12-22T13:39:47-06:00","cbb2e46"
"knime-cloud-azure","checked_out","2021-01-01","9e4cadcc2214b8f0e0e88e52a7bc329cd56ba609","2020-12-14T14:17:24+01:00","9e4cadc"
"knime-cloud","checked_out","2021-01-01","00d88c61c3da81072095695023839ab9779ce580","2020-12-07T21:35:25+01:00","074b476"
"knime-conda","no_commit","2021-01-01","","","b7c80f9"
"knime-core-columnar","checked_out","2021-01-01","9e647f2ca0729d36c0d13533b1af02691d763a9a","2020-12-07T21:35:43+01:00","1822fe26"
"knime-core-table","no_commit","2021-01-01","","","ba21712"
"knime-core-ui","no_commit","2021-01-01","","","7afec73d"
"knime-core","checked_out","2021-01-01","3ff30683e68e1e84b7c6b538bd7a395ddb45792e","2020-12-22T14:39:15+01:00","f7fb97650"
"knime-credentials-base","no_commit","2021-01-01","","","38f4ed1"
"knime-database","checked_out","2021-01-01","ad88eccfa4da4c9e3f3dccfb0f87ca5688041ff3","2020-12-10T18:46:21+01:00","1fb06025"
"knime-deeplearning","checked_out","2021-01-01","10ec40dde0f7c37c669a05be0fee3103a3d7f1c3","2020-12-10T12:09:38+01:00","aa905b74"
"knime-designsystem","no_commit","2021-01-01","","","c09ee19"
"knime-dev","checked_out","2021-01-01","a7aa93f20579f17f139a8176978e07bcb4e1caff","2020-12-10T18:46:23+01:00","c95631b5"
