repo,status,target_date,commit,commit_date,previous_head
"git-nodes-test","checked_out","2024-01-01","4a658f038ccaf1a4a4b2eebb36684087503b42bb","2018-02-20T16:34:53+01:00","4a658f0"
"github-pullrequest-filter-plugin","checked_out","2024-01-01","8b8e09931a20b1dd7e4e7f25b67a0d984d99c945","2023-12-05T18:15:01+01:00","1c84d20"
"incubator-livy","checked_out","2024-01-01","f20827e83fff11f438449031b9abe1ca07983ae2","2021-08-05T14:46:38Z","f20827e"
"knime-activelearning","checked_out","2024-01-01","9501e030155ca2dd1e1b53f647fc4b5254e228a4","2023-12-15T14:19:10+01:00","11b7673"
"knime-ap-batch","no_commit","2024-01-01","","","efc109e"
"knime-aws-services","checked_out","2024-01-01","5f7defa8d014c18bf90e9303375d88d5c6c64d0b","2023-12-08T16:33:55+01:00","6ddbed7"
"knime-aws","checked_out","2024-01-01","6db0e39962681260b37687f501d1308954b20a8c","2023-12-15T14:19:51+01:00","171e5fa"
"knime-azure","checked_out","2024-01-01","10a43fe93dad191b77a4549edb3a4b302e07e183","2023-12-15T14:19:09+01:00","1d84515"
"knime-base-expressions","checked_out","2024-01-01","5bc3cc08085a2444cb32d4b6a01fa42bee0dd424","2021-05-03T11:24:35+02:00","e84f26f"
"knime-base","checked_out","2024-01-01","ea4859ddcebab3e699048bfb2525305003d0089c","2023-12-22T10:46:21+01:00","cbfa72126"
"knime-bigdata","checked_out","2024-01-01","a175049cf848966132b925f287a141dacd2375db","2023-12-15T14:18:03+01:00","2d320661"
"knime-buildworkflows","checked_out","2024-01-01","cefba59d244381e62b7e66841612e85f097dd53d","2023-12-15T14:19:09+01:00","e30df6e"
"knime-business-hub-public","no_commit","2024-01-01","","","076e869"
"knime-chemistry","checked_out","2024-01-01","6d72fc0a87ab8f7e2ab2e81016ac3c6b779fed86","2023-12-15T14:19:08+01:00","68c2b71"
"knime-cloud-aws","checked_out","2024-01-01","5033cd0958a39218fa12c9689bbc1914e98668ab","2022-08-16T08:42:49+02:00","5033cd0"
"knime-cloud-azure","checked_out","2024-01-01","6c2474c888a66a706798dfcfa3ec9b10c0453c9e","2022-08-29T12:33:59+02:00","6c2474c"
"knime-cloud","checked_out","2024-01-01","371b2fecab0c10a695a846cc524b13cddda31e82","2023-12-15T14:19:08+01:00","c62256d"
"knime-conda","checked_out","2024-01-01","f98ff7d5466edbe83de91f0124a795eec367251d","2023-12-15T14:19:51+01:00","31e672d"
"knime-core-columnar","checked_out","2024-01-01","cf6cefad9b03bf2788b7482787cabb61fd03701b","2023-12-15T14:18:02+01:00","4e36417a"
"knime-core-table","checked_out","2024-01-01","49c4666c871c23ba70194879ba31b0cf41b8f0db","2023-12-15T14:18:02+01:00","63fd550"
"knime-core-ui","checked_out","2024-01-01","7a8c89a33a2c5713bfed050b573bfb7e339c92c4","2023-12-21T10:56:06+01:00","ad54b205"
"knime-core","checked_out","2024-01-01","37b942b920c612d643c4ad5021e68b0d893faaee","2023-12-24T21:58:57+01:00","0fd3673a1"
"knime-credentials-base","checked_out","2024-01-01","38f4ed18eecfee86583784da8e773dfa82fba8ba","2023-12-15T14:18:03+01:00","2cf7963"
"knime-database","checked_out","2024-01-01","f0e08e44f791af495d21fb7a4208b67457d3a760","2023-12-15T14:18:01+01:00","66b1affe"
"knime-deeplearning","checked_out","2024-01-01","e4f3f9b23edc9c813907b4afd71c72e0b9727036","2023-12-15T14:19:51+01:00","d2dd048a"
"knime-designsystem","no_commit","2024-01-01","","","c09ee19"
"knime-dev","checked_out","2024-01-01","0d5532b2adf03764200e6fe3fafeb81401b5f960","2023-12-18T18:07:28+01:00","20a1195f"
"knime-dl4j","checked_out","2024-01-01","738d32e5894adbf5486a629b4fde0c9b7f87ed31","2023-12-15T14:19:50+01:00","7f084c9"
"knime-email","checked_out","2024-01-01","379942a3cd6f6e7cc17ef90c6fc9f7488f33817a","2023-12-15T14:18:03+01:00","91ad47b"
"knime-ensembles","checked_out","2024-01-01","0aff4a765053f3488e2a4f6502f061b73aa6e939","2023-12-15T14:19:50+01:00","0791d396"
"knime-examples","checked_out","2024-01-01","38dfcc6dea2f0cd2477e54e805c0b280662027ef","2023-12-08T16:34:33+01:00","eb1928b"
