snapshot_id,snapshot_date,repo,plugin_xml,extension_point,element,factory_class,category_path,deprecated,hidden
date-2019-01-01,2019-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.variables.Python2VariablesNodeFactory,/scripting/python,False,False
date-2019-01-01,2019-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.source.Python2SourceNodeFactory,/scripting/python,False,False
date-2019-01-01,2019-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.script.Python2ScriptNodeFactory,/scripting/python,False,False
date-2019-01-01,2019-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.script1in2out.Python2Script1In2OutNodeFactory,/scripting/python,False,False
date-2019-01-01,2019-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.script2in1out.Python2Script2In1OutNodeFactory,/scripting/python,False,False
date-2019-01-01,2019-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.script2in2out.Python2Script2In2OutNodeFactory,/scripting/python,False,False
date-2019-01-01,2019-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.view.Python2ViewNodeFactory,/scripting/python,False,False
date-2019-01-01,2019-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.objectreader2.Python2ObjectReaderNodeFactory2,/scripting/python,False,False
date-2019-01-01,2019-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.objectwriter2.Python2ObjectWriterNodeFactory2,/scripting/python,False,False
date-2019-01-01,2019-01-01,knime-python-legacy,knime-python-legacy/org.knime.python2.nodes/plugin.xml,org.knime.workbench.repository.nodes,node,org.knime.python2.nodes.learner2.Python2LearnerNodeFactory2,/scripting/python,False,False
