snapshot_id,snapshot_date,repo,plugin_xml,class_mapper
date-2019-01-01,2019-01-01,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,org.knime.base.filehandling.FileHandlingNodeFactoryClassMapper
date-2019-01-01,2019-01-01,knime-productivity-oss,knime-productivity-oss/org.knime.explorer.nodes/plugin.xml,org.knime.explorer.nodes.ExplorerNodeFactoryClassMapper
date-2019-01-01,2019-01-01,knime-core,knime-core/org.knime.base.treeensembles2/plugin.xml,org.knime.base.node.mine.treeensemble2.node.DeprecatedNodeFactoryClassMapper
date-2019-01-01,2019-01-01,knime-core,knime-core/org.knime.base.treeensembles/plugin.xml,org.knime.base.node.mine.treeensemble.node.DeprecatedNodeFactoryClassMapper
date-2019-01-01,2019-01-01,knime-conda,knime-conda/org.knime.conda/plugin.xml,org.knime.conda.nodes.envprop.CondaEnvironmentPropagationNodeClassMapper
date-2019-01-01,2019-01-01,knime-reporting2,knime-reporting2/org.knime.reporting2/plugin.xml,org.knime.reporting2.ReportingNodeFactoryClassMapper
date-2019-01-01,2019-01-01,knime-js-labs,knime-js-labs/org.knime.js.views.labs/plugin.xml,org.knime.js.base.node.viz.tileView.TileViewClassMapper
date-2019-01-01,2019-01-01,knime-bigdata,knime-bigdata/org.knime.bigdata.commons/plugin.xml,org.knime.bigdata.commons.BigDataNodeFactoryClassMapper
date-2019-01-01,2019-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.DatabaseNodeFactoryClassMapper
date-2019-01-01,2019-01-01,knime-database,knime-database/org.knime.database.extensions/plugin.xml,org.knime.database.extension.DatabaseConnectorNodeFactoryClassMapper
date-2019-01-01,2019-01-01,knime-database,knime-database/org.knime.database.extensions.oracle/plugin.xml,org.knime.database.extension.oracle.OracleConnectorNodeFactoryClassMapper
date-2019-01-01,2019-01-01,knime-ensembles,knime-ensembles/org.knime.base.treeensembles2/plugin.xml,org.knime.base.node.mine.treeensemble2.node.DeprecatedNodeFactoryClassMapper
date-2019-01-01,2019-01-01,knime-ensembles,knime-ensembles/org.knime.base.treeensembles/plugin.xml,org.knime.base.node.mine.treeensemble.node.DeprecatedNodeFactoryClassMapper
