label,count,share_percent
Uses KNIME,51,100.0
Workflow or nodes described in text,44,86.3
Workflow screenshots or figures,30,58.8
Reports KNIME version,15,29.4
Downloadable KNIME workflow files,22,43.1
Reports extension/plugin dependencies,20,39.2
Reports extension installation source,11,21.6
Linked workflow artifacts retrieved,7,13.7
