snapshot_id,snapshot_date,repo,plugin_xml,rule_class
date-2026-01-01,2026-01-01,knime-aws-services,knime-aws-services/org.knime.cloud.aws.redshift/plugin.xml,org.knime.cloud.aws.redshift.connector2.RedshiftDBConnectorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-r,knime-r/org.knime.microsoft.r/plugin.xml,org.knime.microsoft.r.RunRInMSSQLNodeMigrationRule
date-2026-01-01,2026-01-01,knime-bigdata,knime-bigdata/org.knime.bigdata.spark.local/plugin.xml,org.knime.bigdata.spark.local.node.create.LocalEnvironmentCreatorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-bigdata,knime-bigdata/org.knime.bigdata.spark.migration/plugin.xml,org.knime.bigdata.spark.migration.DB2SparkNodeMigrationRule
date-2026-01-01,2026-01-01,knime-bigdata,knime-bigdata/org.knime.bigdata.spark.migration/plugin.xml,org.knime.bigdata.spark.migration.Spark2DBNodeMigrationRule
date-2026-01-01,2026-01-01,knime-bigdata,knime-bigdata/org.knime.bigdata.spark.migration/plugin.xml,org.knime.bigdata.spark.migration.DBHive2SparkNodeMigrationRule
date-2026-01-01,2026-01-01,knime-bigdata,knime-bigdata/org.knime.bigdata.spark.migration/plugin.xml,org.knime.bigdata.spark.migration.DBSpark2HiveNodeMigrationRule
date-2026-01-01,2026-01-01,knime-bigdata,knime-bigdata/org.knime.bigdata.spark.migration/plugin.xml,org.knime.bigdata.spark.migration.DBImpala2SparkNodeMigrationRule
date-2026-01-01,2026-01-01,knime-bigdata,knime-bigdata/org.knime.bigdata.spark.migration/plugin.xml,org.knime.bigdata.spark.migration.DBSpark2ImpalaNodeMigrationRule
date-2026-01-01,2026-01-01,knime-bigdata,knime-bigdata/org.knime.bigdata.database/plugin.xml,org.knime.bigdata.database.hive.node.HiveConnectorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-bigdata,knime-bigdata/org.knime.bigdata.database/plugin.xml,org.knime.bigdata.database.impala.node.ImpalaConnectorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.connector.generic.DefaultDBConnectorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.utility.droptable.DBTableDropNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.utility.tablecreator.DBTableCreateNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.utility.tablecreator3.DBTableCreate3NodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.utility.tableselector.DBTableSelectNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.io.reader.query.DBQueryReaderNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.binning.apply.DBBinnerApplyNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.binning.auto.DBBinnerAutoNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.columnrename.DBRenameColumnNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.columnrename2.DBRenameColumn2NodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.binning.numeric.DBBinnerNumericNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.utility.extractor.DBQueryExtractorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.utility.injector.DBQueryInjectorNodeMigrationRule
date-2026-01-01,2026-01-01,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.manipulation.sorter.DBSortNodeMigrationRule
