repo,status,target_date,commit,commit_date,previous_head
"git-nodes-test","checked_out","2026-03-03","4a658f038ccaf1a4a4b2eebb36684087503b42bb","2018-02-20T16:34:53+01:00","4a658f0"
"github-pullrequest-filter-plugin","checked_out","2026-03-03","ddecda6f6ba3ef89ca2a495bc44986273ca77d1c","2025-11-21T16:29:21+01:00","c481541"
"incubator-livy","checked_out","2026-03-03","f20827e83fff11f438449031b9abe1ca07983ae2","2021-08-05T14:46:38Z","f20827e"
"knime-activelearning","checked_out","2026-03-03","09e8fcb9e45d68eef7dde93442c5728c5e7a487c","2026-01-19T14:56:41+01:00","29c5e94"
"knime-ap-batch","checked_out","2026-03-03","1b873b558ad0d0fc040a5c8c1b389244a0e941e3","2026-02-12T11:51:42+01:00","efc109e"
"knime-aws-services","checked_out","2026-03-03","177574c90b8f3117a75c4ada0d51300b1e0dfd07","2026-01-27T15:22:10+01:00","2765014"
"knime-aws","checked_out","2026-03-03","7076b1908b19655c33cedae1f00eb5c8f5347067","2026-02-23T15:39:32+01:00","fa51fcd"
"knime-azure","checked_out","2026-03-03","c2fbcd8e24ba0648455bf530a24ec3a065b82708","2026-02-23T14:45:57+01:00","662eaea"
"knime-base-expressions","checked_out","2026-03-03","4da378fc0983e95521848951c6a5ad1f2d1c7aa2","2026-02-21T16:16:58+01:00","5bc3cc0"
"knime-base","checked_out","2026-03-03","532912764a080e8a7a44e7391731f8f0739adca8","2026-02-23T19:44:50+01:00","5298dc955"
"knime-bigdata","checked_out","2026-03-03","9322f9b6e6dea43d5734f2d988870bf1eb06ec11","2026-02-23T19:23:45+01:00","857f4868"
"knime-buildworkflows","checked_out","2026-03-03","cd056221da978dce41a7f9e5ba073fa76d259201","2026-02-23T15:39:29+01:00","94d8693"
"knime-business-hub-public","checked_out","2026-03-03","11f26f2f1583214cdae2b6724c35a2d1d605eb33","2026-03-02T14:33:45+01:00","076e869"
"knime-chemistry","checked_out","2026-03-03","805b18f33cb8d12f006dac5fd22412a9d346266e","2026-02-23T15:39:20+01:00","413c995"
"knime-cloud-aws","checked_out","2026-03-03","5033cd0958a39218fa12c9689bbc1914e98668ab","2022-08-16T08:42:49+02:00","5033cd0"
"knime-cloud-azure","checked_out","2026-03-03","6c2474c888a66a706798dfcfa3ec9b10c0453c9e","2022-08-29T12:33:59+02:00","6c2474c"
"knime-cloud","checked_out","2026-03-03","366bd2dd47ffc6a9db14a6959ec8e3191109edea","2026-01-19T15:00:29+01:00","7da930f"
"knime-conda","checked_out","2026-03-03","c30592a1a5a7b5d552a2ca2a11cb6bb3df7101ab","2026-02-21T16:58:57+01:00","6a6a8a5"
"knime-core-columnar","checked_out","2026-03-03","db16fd32eaf38bdb235f96281d9360b797e0125d","2026-02-21T16:14:03+01:00","5c11c4ae"
"knime-core-table","checked_out","2026-03-03","69b0a8f7dd036b41acc2b5590a91b9187b41b970","2026-02-06T23:10:10+01:00","8942d75"
"knime-core-ui","checked_out","2026-03-03","ad6df6aeab7d381f3b6d075f117a9aaa7bcd9f69","2026-03-03T14:31:30+01:00","ca80dd9f"
"knime-core","checked_out","2026-03-03","5487725ad40b45793b8ed8180ff8fd6bbd937302","2026-03-03T09:10:19+01:00","c427804ea"
"knime-credentials-base","checked_out","2026-03-03","ef6d4e2f283ea77bfebb54247965509f01221bab","2026-02-06T18:31:16+01:00","38f4ed1"
"knime-database","checked_out","2026-03-03","43942fd089a7ff2be8ff23c3b586cc02ff1a85ab","2026-02-23T10:09:42+01:00","4016dc00"
"knime-deeplearning","checked_out","2026-03-03","9f4be059c7349f19bf0198327acf566e9f81ca48","2026-02-12T11:51:45+01:00","3233ca35"
"knime-designsystem","checked_out","2026-03-03","f6168a510397df052fd43ce7a77d80524aca8e46","2026-03-03T13:11:45+01:00","c09ee19"
"knime-dev","checked_out","2026-03-03","322b2855054f1a4d9a94c027c38ccbd0d8f8041b","2026-02-23T19:23:48+01:00","e5c2cdd8"
"knime-dl4j","checked_out","2026-03-03","c4c0a996c63e024844ab1688630b57611cc3685d","2026-01-19T15:05:51+01:00","409a794"
"knime-email","checked_out","2026-03-03","d48bf1f2a683ae32d42c048216db2bee3cf42dd8","2026-01-16T14:44:12+01:00","379942a"
"knime-ensembles","checked_out","2026-03-03","9ef6fb9742fcd2afb7418e0fbd54d713ae8a14ac","2026-02-12T11:51:45+01:00","8640acec"
"knime-examples","checked_out","2026-03-03","5347a29d4c84300fa36339a260c72975a00269be","2026-01-19T15:14:19+01:00","e3fe687"
"knime-excel","checked_out","2026-03-03","f29e4680dcd0bba3e664d7ae1120d4fdc72a7611","2026-02-20T17:28:30+01:00","ef35d33"
"knime-exttool","checked_out","2026-03-03","9b1c652c1ecaf6becd0eeb0579cb2f7eb4734c98","2026-02-23T15:39:12+01:00","5c8f813"
"knime-filehandling-core","checked_out","2026-03-03","c7231c1cd2539776c73723f52f580c2eeb07eab0","2026-02-21T16:13:46+01:00","4c49bf7"
"knime-filehandling","checked_out","2026-03-03","ace6576e64b1444c94cd40c9fefe2838efd7bd09","2026-02-23T19:23:49+01:00","a5a2b14"
"knime-gateway","checked_out","2026-03-03","d8888c478b87f95c5c9bc6586ea80c1f993753a2","2026-02-23T13:43:30+01:00","97d1905a"
"knime-geospatial","checked_out","2026-03-03","c3d290290455be69e1310e1a4c48fc828bbf1be7","2026-02-23T15:39:33+01:00","3aeeb2f"
"knime-google-wif","checked_out","2026-03-03","9e9d7fc92eef3778d6ca5718996ff947280c04f8","2026-02-23T15:39:07+01:00","70e37b9"
"knime-google","checked_out","2026-03-03","8e7de995478f7edb4c2bbb3c4a8d38b20bbb3df0","2026-02-23T15:39:30+01:00","f570195"
"knime-hub-secret-store-kes","checked_out","2026-03-03","0e35341991e55720c01c2fd568fe434c40da551c","2026-02-10T14:07:34+01:00","a2b1987"
"knime-hubclient-sdk","checked_out","2026-03-03","f86d88db1d2ee0774ce0973c80380820d403394e","2026-02-21T16:58:57+01:00","2bfb897"
"knime-javasnippet","checked_out","2026-03-03","e39c2abfc62a5c9309154415f6c1432937068648","2026-02-19T17:48:18Z","fbc4bdd"
"knime-js-base","checked_out","2026-03-03","77b92c8420e08f4432cd9d837d1421ac637a4d4a","2026-02-21T16:11:19+01:00","8b1e731f"
"knime-js-core","checked_out","2026-03-03","8f98a9768b4a4395237887fd668e71b8ac976dcd","2026-02-23T15:32:49+01:00","413669a1"
"knime-js-labs","checked_out","2026-03-03","5ea99c557b404325606a9604262287334fa5ba98","2026-02-21T16:10:37+01:00","3d13f24"
"knime-js-pagebuilder","checked_out","2026-03-03","c16c76081edbef371e1c99807497066509e75ff9","2026-02-23T19:41:48+01:00","0c0f1bc"
"knime-json","checked_out","2026-03-03","5bf683b2a60c7a577e170936d568712f216964e8","2026-02-21T16:14:20+01:00","0857070"
"knime-kaggle","checked_out","2026-03-03","0824e24bbdcbc60838c23c581850a9815dc17c19","2022-06-23T15:15:04+02:00","0824e24"
"knime-kerberos","checked_out","2026-03-03","d78a1514e42d9c9df5f642b23f94136f05813a83","2026-02-11T15:28:23+01:00","d5523e9"
"knime-office365","checked_out","2026-03-03","232da2f0d14aafb6bef5e4828a5aabf13397a3b5","2026-01-27T15:22:07+01:00","071ad44"
"knime-orc","checked_out","2026-03-03","dd40530b7baa83ead764ef6bf5c919a50cd312d5","2026-02-09T11:30:46+01:00","fcbcb29"
"knime-plotly","checked_out","2026-03-03","a6068fc2d9817618e54e15d0cdee996096b46631","2026-02-21T16:08:40+01:00","b9fef5d"
"knime-powerbi","checked_out","2026-03-03","a8b277f500beb58c6639c233f46895785aa24044","2026-02-09T11:30:43+01:00","8c32474"
"knime-product","checked_out","2026-03-03","b7127026704ab7c815401a32538dba790ed18043","2026-03-03T09:10:20+01:00","34f82b4"
"knime-productivity-oss","checked_out","2026-03-03","f5646fcfa5c25580105becaac8e1663f6dac62ca","2026-02-23T15:39:07+01:00","18d0084"
"knime-python-extension-template","checked_out","2026-03-03","ed869b27cc77099a123f5baebe78232f8646cb0a","2026-02-25T23:02:01Z","0dabdc3"
"knime-python-google-ads","checked_out","2026-03-03","e0d479124479e1411154f523a3217e15d76e2e3e","2026-02-23T14:07:59+01:00","574610a"
"knime-python-legacy","checked_out","2026-03-03","06b034d293b166a4ab650d18839d93e118873a08","2026-02-12T11:51:47+01:00","4f47512"
"knime-python-llm","checked_out","2026-03-03","3bb3ca9ae7ca4067f82e1cc83e050dc52b60e927","2026-02-23T15:16:29+01:00","d452fef"
"knime-python-sklearn","checked_out","2026-03-03","2f53987240f0f4f8da1ac5a422be2fd50a7a5694","2026-02-23T14:08:02+01:00","102f1c9"
"knime-python-types-example","checked_out","2026-03-03","dcbe2874d6abf1b66500de68974984013e08fe35","2026-02-23T15:39:30+01:00","ca261b9"
"knime-python-types","checked_out","2026-03-03","84cf565524ff8081632c1baa184607468a130810","2026-02-23T15:39:18+01:00","4776994"
"knime-python","checked_out","2026-03-03","dd376f7b684a9f09b42ab88d87796f0551f81b0b","2026-02-21T16:20:31+01:00","e7365062"
"knime-r","checked_out","2026-03-03","fcf9ec8fbf999cb6393c11133ebc0f6bbcd430ea","2026-02-09T11:31:28+01:00","814a1cb4"
"knime-reporting2","checked_out","2026-03-03","2cddb7051b790b2350a953791ae9e78de2b082c0","2026-02-09T11:30:53+01:00","d57dffc"
"knime-rest","checked_out","2026-03-03","18a1dc5ee06389d555e895809a9debd701a234ba","2026-02-21T16:14:56+01:00","8872b7c"
"knime-salesforce","checked_out","2026-03-03","3f936514a4cbc89c65ab5465f598a04ddea52e69","2026-02-23T15:39:27+01:00","1f348df"
"knime-scripting-editor","checked_out","2026-03-03","7796310fbf10fc7fba7c82c01d752b565c8aae7e","2026-02-09T11:30:50+01:00","a653632"
"knime-sdk-setup","checked_out","2026-03-03","e57ef1087e54ddfe70be93b36c52306a26a413a4","2026-02-10T14:29:53+01:00","6f6358a"
"knime-shared","checked_out","2026-03-03","8235ad8078dde50f518bf1e61bec3bb216457a21","2026-02-23T19:23:53+01:00","b83bb9d"
"knime-snowflake","checked_out","2026-03-03","a60e39ed2b797f153ea08d44ec8425b4e1427663","2026-02-11T15:32:56+01:00","0394646"
"knime-spark-jobserver-utils","checked_out","2026-03-03","d1ed2002b6c2484bd28b8eb61be49f1bd0f2d8b2","2016-06-08T18:17:35+02:00","d1ed200"
