repo,status,target_date,commit,commit_date,previous_head
"git-nodes-test","checked_out","2019-12-05","4a658f038ccaf1a4a4b2eebb36684087503b42bb","2018-02-20T16:34:53+01:00","4a658f0"
"github-pullrequest-filter-plugin","no_commit","2019-12-05","","","2b95fa4"
"incubator-livy","checked_out","2019-12-05","0a527e800d2634945178133510368c3fc80433e4","2019-11-26T10:21:51+08:00","c00a75c"
"knime-activelearning","checked_out","2019-12-05","1d7b13274440b640e6c64053f34817b7b5ab7140","2019-12-03T19:18:25+01:00","6690ea8"
"knime-ap-batch","no_commit","2019-12-05","","","efc109e"
"knime-aws-services","checked_out","2019-12-05","ac06bd818a8e0a2c34404ce6e3c457963e47494b","2019-11-30T19:32:59+01:00","22957e7"
"knime-aws","checked_out","2019-12-05","ac06bd818a8e0a2c34404ce6e3c457963e47494b","2019-11-30T19:32:59+01:00","22e1ca9"
"knime-azure","checked_out","2019-12-05","671ae364296083473e96526d445ad6dd5e77726a","2019-12-05T11:50:21+01:00","eb22ef8"
"knime-base-expressions","no_commit","2019-12-05","","","5bc3cc0"
"knime-base","checked_out","2019-12-05","fb68b2dbd2b475a5d6c1df6fdebbd0e9ef082a42","2019-12-04T13:11:49+01:00","ee337f9d3"
"knime-bigdata","checked_out","2019-12-05","1d7e1e590719bae992e35ac8ff97ca1ea550c12a","2019-12-02T16:29:38Z","cc6b461f"
"knime-buildworkflows","no_commit","2019-12-05","","","5e7be10"
"knime-business-hub-public","no_commit","2019-12-05","","","076e869"
"knime-chemistry","checked_out","2019-12-05","3c5659f399ffe303ec72db369356e5fe5ad2686a","2019-11-11T10:39:35+01:00","c41c180"
"knime-cloud-aws","no_commit","2019-12-05","","","24d9446"
"knime-cloud-azure","no_commit","2019-12-05","","","9e4cadc"
"knime-cloud","checked_out","2019-12-05","bde31bdc020e907a961cd0e42669a2d1067b279a","2019-12-05T11:50:21+01:00","a3f710f"
"knime-conda","no_commit","2019-12-05","","","b7c80f9"
"knime-core-columnar","no_commit","2019-12-05","","","9e647f2c"
"knime-core-table","no_commit","2019-12-05","","","ba21712"
"knime-core-ui","no_commit","2019-12-05","","","7afec73d"
"knime-core","checked_out","2019-12-05","a9caa8736587b3c6fbdd56ee00db9ad9ffaf1bef","2019-12-04T13:50:07+01:00","c32799ec8"
"knime-credentials-base","no_commit","2019-12-05","","","38f4ed1"
"knime-database","checked_out","2019-12-05","d4d3c19c922202b0e056e69a09441167f5c9e7f8","2019-12-03T11:25:10+01:00","64f74c4d"
"knime-deeplearning","checked_out","2019-12-05","b1bd6dec62ec342f2135ba7e3f51e7af39c551ed","2019-11-17T15:32:04+01:00","03372c1f"
"knime-designsystem","no_commit","2019-12-05","","","c09ee19"
"knime-dev","checked_out","2019-12-05","52c89de771ef2efe26aa40bc0cb2544d47b538bc","2019-11-29T17:49:10+01:00","fd261cc4"
"knime-dl4j","checked_out","2019-12-05","058eace6293f41f8ca20ce22940695b72fb0d2d5","2019-11-11T10:39:36+01:00","741016d"
"knime-email","no_commit","2019-12-05","","","379942a"
"knime-ensembles","checked_out","2019-12-05","b6bbcf28a6b02442817a314369305736b313aae3","2019-12-01T12:58:00+01:00","6d576563"
"knime-examples","checked_out","2019-12-05","3855dce2e29fe6899633e1e3d852e5d56b318320","2019-05-31T14:39:26+02:00","3855dce"
"knime-excel","checked_out","2019-12-05","ba1cee2d7c2831e3d9a1c54475efd7678fed84b3","2019-12-02T18:19:34+01:00","92d4b09"
"knime-exttool","checked_out","2019-12-05","91ebecea635a91737299bfb6f31495d5cf93ed6c","2019-11-13T23:19:38+01:00","c2dde78"
"knime-filehandling-core","checked_out","2019-12-05","c5b1c9c05671c6feaa3d2dd3cfd97f5e66e77f49","2019-12-04T11:21:27Z","150af05"
"knime-filehandling","checked_out","2019-12-05","263bc80151e659bfe1702d3d6177acdbc87c1399","2019-12-04T14:53:29+01:00","fd7ff7c"
"knime-gateway","checked_out","2019-12-05","df51083b64710c8109784e784a996c82b283d351","2019-12-03T17:59:34+01:00","15cd6b09"
"knime-geospatial","no_commit","2019-12-05","","","2c58a93"
"knime-google-wif","no_commit","2019-12-05","","","70e37b9"
"knime-google","checked_out","2019-12-05","15cd208444184f738d87a30b580da7149555a023","2019-12-05T11:50:21+01:00","90237f4"
"knime-hub-secret-store-kes","checked_out","2019-12-05","2fd5252b685e4018aa5a1fe34ed15b67686efacd","2019-12-05T22:23:58+01:00","5a43c39"
"knime-hubclient-sdk","no_commit","2019-12-05","","","2bfb897"
"knime-javasnippet","checked_out","2019-12-05","d0a92b03043a8a1fc953479b903f9ce232853a8f","2019-11-11T10:39:35+01:00","d2e8d64"
"knime-js-base","checked_out","2019-12-05","c82f48ef059f9a10637d5a0e04d29e9fc316513c","2019-12-04T15:58:07+01:00","3ec0abeb"
"knime-js-core","checked_out","2019-12-05","530c4b8d7c252f095077d30237025c519631332d","2019-12-04T01:38:56+01:00","d4cd7a14"
"knime-js-labs","checked_out","2019-12-05","327bec5a78bf1440e2974f67a5796fef6feffac5","2019-11-11T10:39:35+01:00","c2f6f23"
"knime-js-pagebuilder","checked_out","2019-12-05","ca2aaf10635493433510857e049de2c6abeca384","2019-12-05T17:23:33+01:00","30d173a"
"knime-json","checked_out","2019-12-05","3ece8384af96d26a062b4fb31b8828c93d0e4a7b","2019-11-11T10:39:35+01:00","5175fb8"
"knime-kaggle","no_commit","2019-12-05","","","0824e24"
"knime-kerberos","checked_out","2019-12-05","93c1e84cc9711a5ff4785e4bc8e8811b56ea8169","2019-11-18T18:01:18+01:00","1a4cf1e"
"knime-office365","no_commit","2019-12-05","","","73133cb"
"knime-orc","checked_out","2019-12-05","1f4450a3564ea85dd9916b88c3091651a53e3693","2019-08-27T17:58:44+02:00","dabe193"
"knime-plotly","checked_out","2019-12-05","0419d299c5fb6fb6a1b3994821aa2133ba617829","2019-11-25T09:44:54+01:00","a3328eb"
"knime-powerbi","checked_out","2019-12-05","e9fd1a966f92cde8034e81d661d2b9af6577dff2","2019-12-02T13:44:49+01:00","c6658d7"
"knime-product","checked_out","2019-12-05","9872ee7963d97d224d716aa8546f2debb503b9ab","2019-12-05T11:54:42+01:00","92b9549"
"knime-productivity-oss","checked_out","2019-12-05","ebeadfc0cb5df306324f2fdad4137a6c84a0e923","2019-12-04T11:31:10+01:00","2035c36"
"knime-python-extension-template","no_commit","2019-12-05","","","0dabdc3"
"knime-python-google-ads","no_commit","2019-12-05","","","574610a"
"knime-python-legacy","checked_out","2019-12-05","b6837a0ec247c8a83da6206df7e3f9974d0fefcc","2019-11-28T19:38:38+01:00","bbb9d47"
"knime-python-llm","no_commit","2019-12-05","","","d452fef"
"knime-python-sklearn","no_commit","2019-12-05","","","102f1c9"
"knime-python-types-example","no_commit","2019-12-05","","","ca261b9"
"knime-python-types","no_commit","2019-12-05","","","4776994"
"knime-python","checked_out","2019-12-05","4aef7c95617ca7a710ab6f49a986f273bcde5d88","2019-11-28T19:38:38+01:00","6a37774a"
"knime-r","checked_out","2019-12-05","7da60a581ce5ca0efd05d6bbf9d8999462e5175f","2019-11-11T10:39:35+01:00","92b152fa"
"knime-reporting2","no_commit","2019-12-05","","","d57dffc"
"knime-rest","checked_out","2019-12-05","e7957df32a694cc89dbd2caff51f5faf34a5ec6e","2019-11-12T15:43:40+01:00","f2804c4"
"knime-salesforce","no_commit","2019-12-05","","","70f983f"
"knime-scripting-editor","no_commit","2019-12-05","","","ad9428b"
"knime-sdk-setup","checked_out","2019-12-05","0ed3f276eb2bff1c1b329a306c2cd7dc1984f14c","2019-11-26T13:35:52+01:00","0512213"
"knime-shared","checked_out","2019-12-05","686f57468e5f87cd20990c5596afe0ad18a30350","2019-12-03T17:58:28+01:00","786bf71"
"knime-snowflake","no_commit","2019-12-05","","","8117078"
"knime-spark-jobserver-utils","checked_out","2019-12-05","d1ed2002b6c2484bd28b8eb61be49f1bd0f2d8b2","2016-06-08T18:17:35+02:00","d1ed200"
"knime-stats","checked_out","2019-12-05","8a5bbf9c155497df76d7fd6a23c725734a07e613","2019-12-02T11:12:29+01:00","3dbd92a"
"knime-streaming","checked_out","2019-12-05","848881a9e455f65a00c4d20bf3d4222ef04a25d4","2019-11-11T10:39:36+01:00","fb575b8"
"knime-svg","checked_out","2019-12-05","f079ff277cb254a442672a81bdb250e218db5e6f","2019-11-11T10:39:36+01:00","696a0ff"
"knime-tensorflow","checked_out","2019-12-05","bb752b1eb906dc42a7a5307e010ad5f657dd1b0b","2019-09-23T16:08:02+02:00","55b4748"
"knime-textprocessing","checked_out","2019-12-05","9fe358a9e01ff8a2d439b00e072d1a33f806b427","2019-12-02T17:17:59+01:00","b21b47fb"
"knime-timeseries-analysis","no_commit","2019-12-05","","","cd405f3"
"knime-ui-extension-service","no_commit","2019-12-05","","","5a6b6c3"
"knime-ui-table","no_commit","2019-12-05","","","bae6589"
"knime-ui","no_commit","2019-12-05","","","9f32264fb"
"knime-workbench","checked_out","2019-12-05","b8ceaf8b7efa0320eb4d5def2774a97b4e627fb6","2019-12-04T10:24:31-08:00","8cbbd1c8"
