snapshot_id,snapshot_date,repo,plugin_xml,class_mapper
date-2019-12-05,2019-12-05,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,org.knime.base.filehandling.FileHandlingNodeFactoryClassMapper
date-2019-12-05,2019-12-05,knime-productivity-oss,knime-productivity-oss/org.knime.explorer.nodes/plugin.xml,org.knime.explorer.nodes.ExplorerNodeFactoryClassMapper
date-2019-12-05,2019-12-05,knime-conda,knime-conda/org.knime.conda/plugin.xml,org.knime.conda.nodes.envprop.CondaEnvironmentPropagationNodeClassMapper
date-2019-12-05,2019-12-05,knime-reporting2,knime-reporting2/org.knime.reporting2/plugin.xml,org.knime.reporting2.ReportingNodeFactoryClassMapper
date-2019-12-05,2019-12-05,knime-activelearning,knime-activelearning/org.knime.activelearning/plugin.xml,org.knime.al.nodes.score.combine.pbac.UncertaintyDistributionScorerNodeFactoryMapper
date-2019-12-05,2019-12-05,knime-js-base,knime-js-base/org.knime.js.quickforms/plugin.xml,org.knime.js.base.node.quickform.filter.definition.rangeslider.RangeSliderFilterClassMapper
date-2019-12-05,2019-12-05,knime-js-base,knime-js-base/org.knime.js.views/plugin.xml,org.knime.js.base.node.viz.tileView.TileViewClassMapper
date-2019-12-05,2019-12-05,knime-bigdata,knime-bigdata/org.knime.bigdata.commons/plugin.xml,org.knime.bigdata.commons.BigDataNodeFactoryClassMapper
date-2019-12-05,2019-12-05,knime-database,knime-database/org.knime.database.nodes/plugin.xml,org.knime.database.node.DatabaseNodeFactoryClassMapper
date-2019-12-05,2019-12-05,knime-database,knime-database/org.knime.database.extensions/plugin.xml,org.knime.database.extension.DatabaseConnectorNodeFactoryClassMapper
date-2019-12-05,2019-12-05,knime-database,knime-database/org.knime.database.extensions.oracle/plugin.xml,org.knime.database.extension.oracle.OracleConnectorNodeFactoryClassMapper
date-2019-12-05,2019-12-05,knime-ensembles,knime-ensembles/org.knime.base.treeensembles2/plugin.xml,org.knime.base.node.mine.treeensemble2.node.DeprecatedNodeFactoryClassMapper
date-2019-12-05,2019-12-05,knime-ensembles,knime-ensembles/org.knime.base.treeensembles/plugin.xml,org.knime.base.node.mine.treeensemble.node.DeprecatedNodeFactoryClassMapper
