snapshot_id,snapshot_date,repo,plugin_xml,class_mapper
date-2018-04-03,2018-04-03,knime-filehandling,knime-filehandling/org.knime.base.filehandling/plugin.xml,org.knime.base.filehandling.FileHandlingNodeFactoryClassMapper
date-2018-04-03,2018-04-03,knime-productivity-oss,knime-productivity-oss/org.knime.explorer.nodes/plugin.xml,org.knime.explorer.nodes.ExplorerNodeFactoryClassMapper
date-2018-04-03,2018-04-03,knime-core,knime-core/org.knime.base.treeensembles2/plugin.xml,org.knime.base.node.mine.treeensemble2.node.DeprecatedNodeFactoryClassMapper
date-2018-04-03,2018-04-03,knime-core,knime-core/org.knime.base.treeensembles/plugin.xml,org.knime.base.node.mine.treeensemble.node.DeprecatedNodeFactoryClassMapper
date-2018-04-03,2018-04-03,knime-conda,knime-conda/org.knime.conda/plugin.xml,org.knime.conda.nodes.envprop.CondaEnvironmentPropagationNodeClassMapper
date-2018-04-03,2018-04-03,knime-reporting2,knime-reporting2/org.knime.reporting2/plugin.xml,org.knime.reporting2.ReportingNodeFactoryClassMapper
date-2018-04-03,2018-04-03,knime-bigdata,knime-bigdata/org.knime.bigdata.commons/plugin.xml,org.knime.bigdata.commons.BigDataNodeFactoryClassMapper
date-2018-04-03,2018-04-03,knime-ensembles,knime-ensembles/org.knime.base.treeensembles2/plugin.xml,org.knime.base.node.mine.treeensemble2.node.DeprecatedNodeFactoryClassMapper
date-2018-04-03,2018-04-03,knime-ensembles,knime-ensembles/org.knime.base.treeensembles/plugin.xml,org.knime.base.node.mine.treeensemble.node.DeprecatedNodeFactoryClassMapper
