repo,status,target_date,commit,commit_date,previous_head
"git-nodes-test","checked_out","2018-04-03","4a658f038ccaf1a4a4b2eebb36684087503b42bb","2018-02-20T16:34:53+01:00","4a658f0"
"github-pullrequest-filter-plugin","no_commit","2018-04-03","","","2b95fa4"
"incubator-livy","checked_out","2018-04-03","c00a75cfb27affada49443673c6655c57a135a41","2018-03-21T12:09:30+01:00","e2d2189"
"knime-activelearning","checked_out","2018-04-03","6690ea8940de77461e28b277e0c2b91863e03630","2018-01-10T14:42:59+01:00","9237eeb"
"knime-ap-batch","no_commit","2018-04-03","","","efc109e"
"knime-aws-services","checked_out","2018-04-03","22957e7805b53a6e558ea1508a0470074c5e187c","2018-01-10T14:43:54+01:00","50d3fb9"
"knime-aws","checked_out","2018-04-03","22e1ca95c0458cbcb7f412bf257935843855389c","2018-03-24T02:27:54-04:00","50d3fb9"
"knime-azure","checked_out","2018-04-03","eb22ef8f51adc14a74ef2532bcd783d126e1c7f7","2018-01-10T14:43:54+01:00","8e97ddb"
"knime-base-expressions","no_commit","2018-04-03","","","5bc3cc0"
"knime-base","checked_out","2018-04-03","ee337f9d3a53487ff5dc868937f9656ca5d78cf0","2018-04-03T22:45:48+02:00","cc4c79276"
"knime-bigdata","checked_out","2018-04-03","cc6b461fe59289a6c8dc63dbe205ab5cd5fa67b8","2018-03-27T09:32:52+02:00","a89f43d9"
"knime-buildworkflows","no_commit","2018-04-03","","","5e7be10"
"knime-business-hub-public","no_commit","2018-04-03","","","076e869"
"knime-chemistry","checked_out","2018-04-03","c41c180c6783db173e61b2c40506f802e19b7140","2018-01-10T14:43:51+01:00","7822d76"
"knime-cloud-aws","no_commit","2018-04-03","","","24d9446"
"knime-cloud-azure","no_commit","2018-04-03","","","9e4cadc"
"knime-cloud","checked_out","2018-04-03","a3f710f1f105a0ec96aaf4741723229908e0d664","2018-03-24T02:27:54-04:00","ac6950b"
"knime-conda","no_commit","2018-04-03","","","b7c80f9"
"knime-core-columnar","no_commit","2018-04-03","","","9e647f2c"
"knime-core-table","no_commit","2018-04-03","","","ba21712"
"knime-core-ui","no_commit","2018-04-03","","","7afec73d"
"knime-core","checked_out","2018-04-03","c32799ec808761e1ff67856bc83776f839fd106f","2018-04-03T22:45:48+02:00","08bc2246d"
"knime-credentials-base","no_commit","2018-04-03","","","38f4ed1"
"knime-database","checked_out","2018-04-03","64f74c4dc398a1b60040bb8f5afd0e5c547e5490","2018-04-03T12:44:29+02:00","ff4602a0"
"knime-deeplearning","checked_out","2018-04-03","03372c1fb02d007ce16c192437b79f6016645650","2018-04-03T12:44:34+02:00","e244d87b"
"knime-designsystem","no_commit","2018-04-03","","","c09ee19"
"knime-dev","checked_out","2018-04-03","fd261cc417146a4516fe7fe9a016b7e49daa9114","2018-03-30T18:53:36+02:00","1b7803a1"
"knime-dl4j","checked_out","2018-04-03","741016dad50d0b99cb892073d23d1fa8ea44ca28","2018-03-24T11:19:27+01:00","732f4d8"
"knime-email","no_commit","2018-04-03","","","379942a"
"knime-ensembles","checked_out","2018-04-03","6d576563141207c5ec4ad85281fbf75162299e36","2018-02-22T14:20:31+01:00","661a8d0a"
"knime-examples","no_commit","2018-04-03","","","3855dce"
"knime-excel","checked_out","2018-04-03","92d4b0922ed624da78d6e49976bdc4d646a542c8","2018-04-03T12:44:46+02:00","026e40d"
"knime-exttool","checked_out","2018-04-03","c2dde7882b85cfa0205f72c7a44a60df309a1618","2018-01-10T14:46:01+01:00","464b63a"
"knime-filehandling-core","no_commit","2018-04-03","","","150af05"
"knime-filehandling","checked_out","2018-04-03","fd7ff7c6ce023b315c823afed4bba360c1040af1","2018-04-03T12:47:13+02:00","2351557"
"knime-gateway","checked_out","2018-04-03","15cd6b0977d58c228b8d1b51bd53613a89f96cbf","2018-03-25T20:15:47+02:00","4e917de1"
"knime-geospatial","no_commit","2018-04-03","","","2c58a93"
"knime-google-wif","no_commit","2018-04-03","","","70e37b9"
"knime-google","checked_out","2018-04-03","90237f472daa2591be3fe28980a56174dbeb5694","2018-02-06T06:35:34+01:00","f532b68"
"knime-hub-secret-store-kes","no_commit","2018-04-03","","","5a43c39"
"knime-hubclient-sdk","no_commit","2018-04-03","","","2bfb897"
"knime-javasnippet","checked_out","2018-04-03","d2e8d640ad90c7c30d6622b096d8c4220b961298","2018-04-03T13:05:42+02:00","c67e263"
"knime-js-base","checked_out","2018-04-03","3ec0abeb93ccfd169ec01aa738fb275b78c24257","2018-03-26T23:15:15-07:00","58a6982d"
"knime-js-core","checked_out","2018-04-03","d4cd7a144ad28431bae4fe221febaee981d274d4","2018-04-03T12:47:44+02:00","7549731b"
"knime-js-labs","checked_out","2018-04-03","c2f6f23b8e58b507ab7e8a72004a5ae987330bc4","2018-04-03T12:47:44+02:00","fde67fc"
"knime-js-pagebuilder","no_commit","2018-04-03","","","30d173a"
"knime-json","checked_out","2018-04-03","5175fb8b5886fef05d6e6264e3af8a653db7a2a7","2018-02-25T09:56:28-08:00","1cf4aa8"
"knime-kaggle","no_commit","2018-04-03","","","0824e24"
"knime-kerberos","no_commit","2018-04-03","","","1a4cf1e"
"knime-office365","no_commit","2018-04-03","","","73133cb"
"knime-orc","checked_out","2018-04-03","dabe193ee5512dac91b8abc9b3449f36d07b0e93","2018-03-24T10:55:12+01:00","f7ff8b6"
"knime-plotly","no_commit","2018-04-03","","","a3328eb"
"knime-powerbi","no_commit","2018-04-03","","","c6658d7"
"knime-product","checked_out","2018-04-03","92b9549c146fa4d35697bac750cad5e464e3e41f","2018-04-03T13:05:42+02:00","1cf435e"
"knime-productivity-oss","checked_out","2018-04-03","2035c36f9ffff2e7ba69381013f5700fb40dfcde","2018-01-10T14:47:18+01:00","b7e877c"
"knime-python-extension-template","no_commit","2018-04-03","","","0dabdc3"
"knime-python-google-ads","no_commit","2018-04-03","","","574610a"
"knime-python-legacy","checked_out","2018-04-03","bbb9d47268c17bf893adfaa43875d70585669e7f","2018-02-22T14:07:43+01:00","69bb3b5"
"knime-python-llm","no_commit","2018-04-03","","","d452fef"
"knime-python-sklearn","no_commit","2018-04-03","","","102f1c9"
"knime-python-types-example","no_commit","2018-04-03","","","ca261b9"
"knime-python-types","no_commit","2018-04-03","","","4776994"
"knime-python","checked_out","2018-04-03","6a37774a151c5c8149a9a9919c249067103936dc","2018-02-22T14:07:43+01:00","76cc214d"
"knime-r","checked_out","2018-04-03","92b152fa2d2610c73e1b98504b144aa2cbf4293b","2018-04-03T17:44:42+02:00","4840d086"
"knime-reporting2","no_commit","2018-04-03","","","d57dffc"
"knime-rest","checked_out","2018-04-03","f2804c4470d790ad13c3239f31b8ed796843ead3","2018-04-03T12:49:15+02:00","fa7920c"
"knime-salesforce","no_commit","2018-04-03","","","70f983f"
"knime-scripting-editor","no_commit","2018-04-03","","","ad9428b"
"knime-sdk-setup","checked_out","2018-04-03","05122133d7ffec2413979904680bd76e2f5c5c51","2018-04-02T16:13:09+02:00","19fdae6"
"knime-shared","checked_out","2018-04-03","786bf71dec5cd56dde33a8bb6c4a03d7fe3a83f9","2018-04-03T13:08:10+02:00","196e4b0"
"knime-snowflake","no_commit","2018-04-03","","","8117078"
"knime-spark-jobserver-utils","checked_out","2018-04-03","d1ed2002b6c2484bd28b8eb61be49f1bd0f2d8b2","2016-06-08T18:17:35+02:00","d1ed200"
"knime-stats","checked_out","2018-04-03","3dbd92a6f975d9b8f0cebc7d3ce672b487effc84","2018-03-23T12:35:36-04:00","5049336"
"knime-streaming","checked_out","2018-04-03","fb575b8f3b40594c73e7d0ac7e81fb8cc473966f","2018-01-10T14:48:53+01:00","b910aff"
"knime-svg","checked_out","2018-04-03","696a0ffb671a8cddbc869d90ab855212bf19db02","2018-02-22T14:08:55+01:00","65b0f63"
"knime-tensorflow","checked_out","2018-04-03","55b4748038cd4abf23a29848d4b94a98879d71c8","2018-04-03T15:56:57+02:00","92d4ef7"
"knime-textprocessing","checked_out","2018-04-03","b21b47fba246a0ce2ab0b094e2314ba1a8707a70","2018-04-03T12:50:14+02:00","d485f81b"
"knime-timeseries-analysis","no_commit","2018-04-03","","","cd405f3"
"knime-ui-extension-service","no_commit","2018-04-03","","","5a6b6c3"
"knime-ui-table","no_commit","2018-04-03","","","bae6589"
"knime-ui","no_commit","2018-04-03","","","9f32264fb"
"knime-workbench","checked_out","2018-04-03","8cbbd1c8727f927d38db5a97b18ea6cc8fe6f814","2018-04-03T13:05:42+02:00","97abae50"
"knime-xml","checked_out","2018-04-03","e9b502618e43be8a03961d5d2078ae00975539ef","2018-02-27T14:18:08+01:00","0b1e974"
"knimepy","no_commit","2018-04-03","","","05c7663"
"replicated-cmx-hub-initialization-workflow","no_commit","2018-04-03","","","87dd53b"
"spark-jobserver","checked_out","2018-04-03","7746dd7befce5f4aa854ba632f9a768801ef8057","2018-03-29T16:04:09+02:00","e4d3ba9"
"v-calendar","no_commit","2018-04-03","","","42fc080"
"vue-headless-virtual-scroller","no_commit","2018-04-03","","","11f049d"
