repo,status,target_date,commit,commit_date,previous_head
"git-nodes-test","checked_out","2023-01-01","4a658f038ccaf1a4a4b2eebb36684087503b42bb","2018-02-20T16:34:53+01:00","4a658f0"
"github-pullrequest-filter-plugin","checked_out","2023-01-01","2b95fa4df4eb6f8b89dfe789a75a6f51b5bed0a6","2021-02-08T16:53:05+01:00","8b8e099"
"incubator-livy","checked_out","2023-01-01","f20827e83fff11f438449031b9abe1ca07983ae2","2021-08-05T14:46:38Z","f20827e"
"knime-activelearning","checked_out","2023-01-01","d8cd561f1778c6963f499fb88a66826776283187","2022-12-13T15:40:25+01:00","9501e03"
"knime-ap-batch","no_commit","2023-01-01","","","efc109e"
"knime-aws-services","checked_out","2023-01-01","ff3c573b52313811b59f8b2bab440711831c197e","2022-11-15T17:04:28-06:00","5f7defa"
"knime-aws","checked_out","2023-01-01","ce20c13d8367304a561ad0a1ea12e0f4baa945ed","2022-12-13T15:40:25+01:00","6db0e39"
"knime-azure","checked_out","2023-01-01","0e2ccb2a5a00015de06c97f60e3f6f245094bac5","2022-12-13T15:40:25+01:00","10a43fe"
"knime-base-expressions","checked_out","2023-01-01","5bc3cc08085a2444cb32d4b6a01fa42bee0dd424","2021-05-03T11:24:35+02:00","5bc3cc0"
"knime-base","checked_out","2023-01-01","e9f1dcb17b9a805cbb66287f2a9d47ca3d815448","2022-12-23T14:59:16+01:00","ea4859ddc"
"knime-bigdata","checked_out","2023-01-01","514abd88941ddf0807819f02bda145955594397f","2022-12-14T16:31:48+01:00","a175049c"
"knime-buildworkflows","checked_out","2023-01-01","47686fc5653589abef00a29173ada9839d58dbdb","2022-12-21T14:39:30+01:00","cefba59"
"knime-business-hub-public","no_commit","2023-01-01","","","076e869"
"knime-chemistry","checked_out","2023-01-01","71b0756833444ed6b19bafe450a6271ce521d4d7","2022-12-22T11:24:59+01:00","6d72fc0"
"knime-cloud-aws","checked_out","2023-01-01","5033cd0958a39218fa12c9689bbc1914e98668ab","2022-08-16T08:42:49+02:00","5033cd0"
"knime-cloud-azure","checked_out","2023-01-01","6c2474c888a66a706798dfcfa3ec9b10c0453c9e","2022-08-29T12:33:59+02:00","6c2474c"
"knime-cloud","checked_out","2023-01-01","42a0fe41e3786266f3da3dcc89fed9eab9575104","2022-12-13T15:40:25+01:00","371b2fe"
"knime-conda","checked_out","2023-01-01","b7c80f99f7af6abb94b9391c91cd69d53baef77f","2022-12-14T11:37:29+01:00","f98ff7d"
"knime-core-columnar","checked_out","2023-01-01","9f14a2b4a2f7060069125a636345bed626336d2b","2022-12-21T18:21:26+01:00","cf6cefad"
"knime-core-table","checked_out","2023-01-01","b444bac9e5ea79ee04be7b725d1b70354868facf","2022-12-09T10:59:21+01:00","49c4666"
"knime-core-ui","checked_out","2023-01-01","7afec73dae2f7e073a4fe4c8d9703f5571490687","2022-12-29T16:39:34+01:00","7a8c89a3"
"knime-core","checked_out","2023-01-01","a17a43e8b9edde86cface21b8465ed5520f9e245","2022-12-21T18:25:11+01:00","37b942b92"
"knime-credentials-base","no_commit","2023-01-01","","","38f4ed1"
"knime-database","checked_out","2023-01-01","33d260d073752a5f479fdbb237b1c17e96144164","2022-12-13T15:40:25+01:00","f0e08e44"
"knime-deeplearning","checked_out","2023-01-01","3fb040b37b4513212156061dfc42b2fa42d363f3","2022-12-14T12:22:17+01:00","e4f3f9b2"
"knime-designsystem","no_commit","2023-01-01","","","c09ee19"
"knime-dev","checked_out","2023-01-01","a81818976c113d838a61debcf2b8e4a39e4b1d34","2022-11-08T14:54:05+01:00","0d5532b2"
"knime-dl4j","checked_out","2023-01-01","a7867816d986f2159cc6fad77c37db20bce2ebc7","2022-12-13T15:40:25+01:00","738d32e"
"knime-email","no_commit","2023-01-01","","","379942a"
"knime-ensembles","checked_out","2023-01-01","3a8cdcaa6ae13d5c1f17764ccb9b344e8a148cda","2022-12-13T15:40:25+01:00","0aff4a76"
"knime-examples","checked_out","2023-01-01","e3fe6877ae2b83df5a6980f5faffd87cf06362a6","2022-11-09T00:54:52+01:00","38dfcc6"
"knime-excel","checked_out","2023-01-01","3b794b2206f606bd6768e9311b57652342bda110","2022-12-13T15:40:25+01:00","920eb92"
"knime-exttool","checked_out","2023-01-01","094b25dbb1db91918962bda90f281e6ff1b79773","2022-12-13T15:40:25+01:00","5df4fc2"
"knime-filehandling-core","checked_out","2023-01-01","3c02d7b3dae039983e10113502eb654ec53fbb2a","2022-12-13T15:23:47+01:00","fdcd826"
"knime-filehandling","checked_out","2023-01-01","e2f89e87ed17a7fcd4a0439b3c83fe483c537b12","2022-12-13T15:40:25+01:00","c539401"
"knime-gateway","checked_out","2023-01-01","e7a1a82c11fc315c0ce1d300dfd521c1bc99b40a","2022-12-22T12:10:45+01:00","41bf3494"
"knime-geospatial","checked_out","2023-01-01","6e5b65ac7fd947b4e68b17e3ce598382509bfa60","2022-12-09T11:05:27+01:00","c81ca46"
"knime-google-wif","no_commit","2023-01-01","","","70e37b9"
"knime-google","checked_out","2023-01-01","6a454d9091c8cbad6a80cdc1e5d9f0dbfb968a7e","2022-12-13T15:40:25+01:00","7ca9678"
