source_text_file,normalized_text_file,layout,pages,candidate_two_column_pages,converted_pages,one_column_pages
data/processed/articles/raw/s12553-020-00438-1.txt,data/processed/articles/s12553-020-00438-1.txt,two_column_normalized,9,7,7,2
data/processed/articles/raw/s13321-018-0299-2_osti.txt,data/processed/articles/s13321-018-0299-2_osti.txt,two_column_normalized,17,11,11,6
data/processed/articles/raw/s13321-018-0315-6.txt,data/processed/articles/s13321-018-0315-6.txt,two_column_normalized,14,11,11,3
data/processed/articles/raw/s13321-019-0384-1.txt,data/processed/articles/s13321-019-0384-1.txt,two_column_normalized,21,16,16,5
data/processed/articles/raw/s13321-020-00435-6.txt,data/processed/articles/s13321-020-00435-6.txt,two_column_normalized,11,7,7,4
data/processed/articles/raw/s41592-018-0216-7.txt,data/processed/articles/s41592-018-0216-7.txt,two_column_normalized,13,9,9,4
data/processed/articles/raw/sustainability-12-04776-v2.txt,data/processed/articles/sustainability-12-04776-v2.txt,one_column_or_complex_layout,16,0,0,16
data/processed/articles/raw/sustainability_13_03836.txt,data/processed/articles/sustainability_13_03836.txt,one_column_or_complex_layout,20,0,0,20
data/processed/articles/raw/sustainability_15_05443.txt,data/processed/articles/sustainability_15_05443.txt,one_column_or_complex_layout,17,0,0,17
data/processed/articles/raw/swb_2023_1302.txt,data/processed/articles/swb_2023_1302.txt,one_column_or_complex_layout,9,0,0,9
data/processed/articles/raw/thesai_specialissue_010304.txt,data/processed/articles/thesai_specialissue_010304.txt,two_column_normalized,10,9,9,1
