repo,status,target_date,commit,commit_date,previous_head
"git-nodes-test","checked_out","2020-01-01","4a658f038ccaf1a4a4b2eebb36684087503b42bb","2018-02-20T16:34:53+01:00","4a658f0"
"github-pullrequest-filter-plugin","no_commit","2020-01-01","","","2b95fa4"
"incubator-livy","checked_out","2020-01-01","c3e5188799e361abd5b8342ad86259725a0a7706","2019-12-18T10:06:47+08:00","7989ebb"
"knime-activelearning","checked_out","2020-01-01","f6875d5dc721a1117415c3cb45a19e7b3b06ba3d","2019-12-19T14:07:39+01:00","ec26709"
"knime-ap-batch","no_commit","2020-01-01","","","efc109e"
"knime-aws-services","checked_out","2020-01-01","6221072cc14a7193fe363bf2500defe17cc31091","2019-12-13T11:01:29+01:00","625a946"
"knime-aws","checked_out","2020-01-01","6221072cc14a7193fe363bf2500defe17cc31091","2019-12-13T11:01:29+01:00","83ddf89"
"knime-azure","checked_out","2020-01-01","39d090361197761f571602de63dd5724d55ff869","2019-12-13T11:01:29+01:00","154aceb"
"knime-base-expressions","no_commit","2020-01-01","","","5bc3cc0"
"knime-base","checked_out","2020-01-01","bb47cb8e1c549cb696d65e42257ce0f30d4dd33b","2019-12-19T23:42:40+01:00","cb38702a5"
"knime-bigdata","checked_out","2020-01-01","2316b23c29da29d018045bd8c10d0a3041b40421","2019-12-13T11:01:20+01:00","4e88e38f"
"knime-buildworkflows","no_commit","2020-01-01","","","5e7be10"
"knime-business-hub-public","no_commit","2020-01-01","","","076e869"
"knime-chemistry","checked_out","2020-01-01","146fb94147f72b3ce7a8f16adeb1e04fcc40aa4c","2019-12-13T11:01:27+01:00","68ba662"
"knime-cloud-aws","no_commit","2020-01-01","","","24d9446"
"knime-cloud-azure","no_commit","2020-01-01","","","9e4cadc"
"knime-cloud","checked_out","2020-01-01","7a95fafa714d0835ae5f418c737d33119a678c55","2019-12-13T11:01:29+01:00","00d88c6"
"knime-conda","no_commit","2020-01-01","","","b7c80f9"
"knime-core-columnar","no_commit","2020-01-01","","","9e647f2c"
"knime-core-table","no_commit","2020-01-01","","","ba21712"
"knime-core-ui","no_commit","2020-01-01","","","7afec73d"
"knime-core","checked_out","2020-01-01","8a11dc7811b832fab46297d0b31e59fa2c29ad1d","2019-12-28T15:32:34Z","3ff30683e"
