id,doi,display_name,publication_year,publication_date,type,type_crossref,cited_by_count,is_oa,open_access_status,primary_location_source,primary_location_landing_page_url,primary_location_pdf_url,authorships_count,first_author
https://openalex.org/W2279004469,https://doi.org/10.3389/fenvs.2016.00002,Consensus Modeling for HTS Assays Using In silico Descriptors Calculates the Best Balanced Accuracy in Tox21 Challenge,2016,2016-02-04,article,,65,True,gold,Frontiers in Environmental Science,https://doi.org/10.3389/fenvs.2016.00002,https://www.frontiersin.org/articles/10.3389/fenvs.2016.00002/pdf,4,Ahmed Abdelaziz
https://openalex.org/W2969993883,,PAR-KNIME: conjunto de plugins para extraer reglas de asociación cuantitativas en KNIME,2018,2018-01-01,article,,0,False,closed,,,,3,Katherine González Pupo
https://openalex.org/W4417012565,https://doi.org/10.59350/d0md7-pys92,Cheminformatics Data Pipelining with KNIME - Getting Started,2010,2010-10-11,article,,0,True,gold,,https://doi.org/10.59350/d0md7-pys92,,1,Richard L. Apodaca
https://openalex.org/W2370500362,https://doi.org/10.1016/j.procs.2016.04.276,Oil-immersed Power Transformer Internal Fault Diagnosis Research Based on Probabilistic Neural Network,2016,2016-01-01,article,,52,True,diamond,Procedia Computer Science,https://doi.org/10.1016/j.procs.2016.04.276,,4,Shenghao Yu
https://openalex.org/W2787568625,https://doi.org/10.1021/acssuschemeng.7b04220,A Perspective and a New Integrated Computational Strategy for Skin Sensitization Assessment,2018,2018-02-07,article,,50,False,closed,ACS Sustainable Chemistry & Engineering,https://doi.org/10.1021/acssuschemeng.7b04220,,10,Vinícius M. Alves
https://openalex.org/W2075653873,https://doi.org/10.1145/2494444.2494451,Comparison of data mining techniques and tools for data classification,2013,2013-07-10,article,,41,False,closed,,https://doi.org/10.1145/2494444.2494451,,3,Luís C. Borges
https://openalex.org/W2746078860,https://doi.org/10.13034/jsst.v10i1.123,Implementation of virtual workflows in KNIME for medicinal chemistry,2017,2017-08-19,article,,0,True,diamond,Journal of Student Science and Technology,https://doi.org/10.13034/jsst.v10i1.123,http://journal.fsst.ca/index.php/jsst/article/download/123/pdf_1,1,Jack Antonio DiTommaso
https://openalex.org/W2977773286,https://doi.org/10.1021/acs.jproteome.9b00313,MHCquant: Automated and Reproducible Data Analysis for Immunopeptidomics,2019,2019-10-07,article,,62,False,closed,Journal of Proteome Research,https://doi.org/10.1021/acs.jproteome.9b00313,,12,Leon Bichmann
https://openalex.org/W4297627447,https://doi.org/10.5281/zenodo.3474555,MACHINE LEARNING IN NETWORK SECURITY USING KNIME ANALYTICS,2019,2019-09-30,article,,0,True,green,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.3474555,,1,MuntherAbualkibash
https://openalex.org/W762281497,,The Konstanz Information Miner 2.0,2009,2009-01-01,article,,10,True,green,KOPS (University of Konstanz),http://nbn-resolving.de/urn:nbn:de:bsz:352-opus-84048,https://kops.uni-konstanz.de/server/api/core/bitstreams/a70690be-906b-4c04-aa28-544158e45093/content,9,Thorsten Meinl
